value;translated
0/sii/;Siilinjärven kunnankirjasto, Siilinjärven kunnankirjasto, Siilinjärven kunnankirjasto
0/SIIDA/;Saamelaismuseo Siida, Samemuseum Siida, Sámi Museum Siida
0/Siiri/;Tampereen historialliset museot, Tammerfors museer (Siiri), Tampere City Museums (Siiri)
0/siirtolaisuusinstituutti/;Siirtolaisuusinstituutti, Migrationsinstitutet, Migration Institute of Finland
0/siirtolaisuusmuseo/;Suomen Siirtolaisuusmuseo, Finska emigrantmuseum, The Finnish Emigrant Museum
0/SKM/;Suomen käsityön museo, Finlands Hantverksmuseum, Craft Museum of Finland
0/SLS/;Svenska litteratursällskapet i Finland, Svenska litteratursällskapet i Finland, The Society of Swedish Literature in Finland
0/Somero/;Someron kaupunginkirjasto, Somero stadsbibliotek, Somero City Library
0/Sotkamo/;Sotkamon kirjasto, Sotkamo kommunbibliotek, Sotkamo Public Library
0/SRM/;Suomen Rautatiemuseo, Finlands Järnvägsmuseum, The Finnish Railway Museum
0/STAT/;Tilastokeskus, Statistikcentralen, Statistics Finland
0/Suomen kansallismuseo/;Suomen kansallismuseo, Nationalmuseum, The National Museum of Finland
0/SYKE/;Suomen ympäristökeskus, Finlands miljöcentral, Finnish Environment Institute
0/TAIKA/;Hyvinkään kaupunginmuseo, Hyvinge stadsmuseum, Hyvinkää City Museum
0/TAIY/;Taideyliopisto, Konstuniversitetet, University of the Arts Helsinki
0/TAMK/;TAMK, TAMK, TAMK
0/TAMPEREENTAIDEMUSEO/;Tampereen taidemuseo, Tammerfors konstmuseum, Tampere Art Museum
0/tekniikan_museo/;Tekniikan museo, Tekniska museet, Museum of Technology
0/TRITONIA/;Tritonia, Tritonia, Tritonia
0/TUAMK/;Turun ammattikorkeakoulu, Åbo yrkeshögskola, Turku University of Applied Sciences
0/TUNI/;Tampereen yliopisto, Tampere University, Tampere University
0/Turun museokeskus/;Turun museokeskus, Åbo museicentral, The Museum Centre of Turku
0/Turun Vesilaitosmuseo/;Turun Vesilaitosmuseo, Turun Vesilaitosmuseo, Turun Vesilaitosmuseo
0/Tuusulan museo/;Tuusulan museo, Tusby museum, Tuusula Museum
0/TY/;Turun yliopisto, University of Turku, University of Turku
0/TYL/;Työväenliikkeen kirjaston julkaisuarkisto, Arbetarrörelsens biblioteks publikationsarkiv, Library of the Labour Movement Repository
0/tyovaen_arkisto/;Työväen Arkisto, Arbetararkivet, The Labour Archives
0/UEF/;Itä-Suomen yliopisto, University of Eastern Finland, University of Eastern Finland
0/URHEILUMUSEO/;Urheilumuseo, Finlands Idrottsmuseum, Sports Museum of Finland
0/Uudenkaupungin museo/;Uudenkaupungin museo, Nystads museum, The Uusikaupunki museum
0/Vaarakirjastot/;Vaara-kirjastot, Vaara-biblioteken, Vaara Libraries
0/Vanamo/;Vanamo-kirjastot, Vanamo-kirjastot, Vanamo-kirjastot
0/VANTAA/;Vantaan kaupunginmuseo, Vanda stadsmuseum, Vantaa City Museum
0/VARKAUDENMUSEOT/;Varkauden museot, Varkauden museot, Varkauden museot
0/Vaski/;Vaski-kirjastot, Vaskibiblioteken, Vaski Libraries
0/VATT/;Valtion taloudellinen tutkimuskeskus, Statens ekonomiska forskningscentral, VATT Institute for Economic Research
0/Verla/;Verlan tehdasmuseo, Verla fabriksmuseum, Verla Mill Museum
0/Vesilaitosmuseo/;Vesilaitosmuseo, Vesilaitosmuseo, Vesilaitosmuseo
0/VillaGyllenberg/;Villa Gyllenberg, Villa Gyllenberg, Villa Gyllenberg
0/VISAVUORI/;Valkeakosken museot, Valkeakosken museot, Valkeakosken museot
0/VNK/;Valtioneuvoston julkaisuarkisto Valto, Statsrådets gemensamma publikationsarkiv Valto, Institutional Repository for the Government
0/Väylävirasto/;Väylävirasto, Trafikledsverket, Finnish Transport Infrastructure Agency
0/Werstas/;Työväenmuseo Werstas, Arbetarmuseet Werstas, The Finnish Labour Museum Werstas
0/XAMK/;Kaakkois-Suomen ammattikorkeakoulu, Kaakkois-Suomen ammattikorkeakoulu, South-Eastern Finland University of Applied Sciences
0/yo-museo/;Tiedemuseo Liekki, Vetenskapsmuseet Lågan, Helsinki University Museum Flame
